,debit_amount_count,debit_amount_sum,debit_amount_mean,debit_amount_std,debit_debit_roll_cnt_30d_mean,debit_debit_roll_mean_30d_mean,debit_debit_roll_std_30d_mean,debit_debit_amount_spike_ratio_7d_mean,debit_debit_tx_rate_spike_7d_mean,debit_debit_amount_volatility_30d_mean,credit_amount_count,credit_amount_sum,credit_amount_mean,credit_amount_std,credit_credit_roll_cnt_30d_mean,credit_credit_roll_mean_30d_mean,credit_credit_roll_std_30d_mean,credit_credit_amount_spike_ratio_7d_mean,credit_credit_tx_rate_spike_7d_mean,credit_credit_amount_volatility_30d_mean,out_unique,in_unique,fan_out_ratio,fan_in_ratio,in_out_ratio,IsolationForest_score,LocalOutlierFactor_score,OneClassSVM_score,EllipticEnvelope_score,graph_anomaly_score,anomaly_flag
6290b8d67943ece5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,180669.65,5018.601388888888,2387.8080795983497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.027777777006172864,180669650001.0,0.04872108858122953,0.004145950089974924,0.9298359688581147,3.5233728710474054e-07,0.24567583996665157,0
659207c64fee1c66,60.0,18200000.0,303333.3333333333,173661.14156712053,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.016666666388888893,0.9999990000010001,0.005494505494560138,0.27079860903314834,0.031418552868461194,0.8852599607138957,9.556145987492971e-08,0.29686930454424126,0
683c3112f4fb5700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,77344.0,15468.8,17044.36665587783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.199999960000008,77344000001.0,0.007355723364560641,2.79460308105645e-05,0.7693236887748086,2.710161747574712e-08,0.19417684631794932,0
6931e23e98703aa9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256.0,393427343.0,1536825.55859375,4968876.800618378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.003906249984741211,393427343000001.0,0.6196382045646402,0.4275308643907029,0.9956260540670463,0.9999999999999736,0.7606987807555907,1
699e6f31660016bf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,18000.0,4500.0,2449.489742783178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.24999993750001562,18000000001.0,0.002061312208978638,0.0,0.745025939296652,4.01734783554492e-08,0.18677182291977723,0
6d806e49c5774c77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,351076.0,87769.0,9896.019603860937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.24999993750001562,351076000001.0,0.01264016536013512,0.00011011750175398454,0.7140180970241556,1.953434377126308e-07,0.18169214380737062,0
6e8af9f6fa6a662b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3483.56,870.89,21.079999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.24999993750001562,3483560001.0,0.0035625248031909405,0.0,0.7469150280224264,4.7545005962224986e-08,0.18761940009265582,0
6ef5667d7851dcbc,20.0,23200000.0,1160000.0,321836.8334551237,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3000000.0,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.04999999750000012,0.9999990000010001,0.12931034482762374,0.322279052230927,0.2493982005877693,0.8546630392939758,0.00016873163674834582,0.35662725593735506,0
71aea28b46e14023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,41453.86,5181.7325,3711.6452336579414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.12499998437500197,41453860001.0,0.008645300374678063,0.0023892126717719253,0.8336108180248714,4.140591882990645e-08,0.21116134311931004,0
74b54be399407640,1.0,157929.64,157929.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,433931.76,108482.94,66095.54313798221,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9999990000010001,0.24999993750001562,2.7476271078579826,0.12977308922731315,0.009265648192228837,0.7006587269444265,4.919920154234009e-07,0.209924489088996,0
75bcde0b4b2dbe0e,1.0,2661120.0,2661120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9999990000010001,0.0,3.757816257814846e-13,0.19003861478216355,0.027523271569799182,0.5958637307648563,2.186456413359718e-07,0.2033564589406151,0
767c3f5f72b4494f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,29485.0,14742.5,9952.527945200656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.499999750000125,29485000001.0,0.000647587351266187,0.004131436126175794,0.6708284379803078,0.0,0.16890186536443744,0
777e4d144e99f74a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6479589.0,1079931.5,1888708.7814132436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.16666663888889352,6479589000001.001,0.1421980816460558,0.06828259183770169,0.42023856892425693,0.0002827452174617645,0.15775049690636903,0
77af13772af29f14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6076663.2,6076663.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9999990000010001,6076663200001.001,0.3326162745251828,0.3399137119278229,0.9970251111524181,0.00028152397657001154,0.41745915539549844,0
