date,debit_inn,credit_inn,amount,purpose,purpose_risk_score,purpose_len,digit_share,is_weekend,is_month_end,round_large_amount,EllipticEnvelope_score
2021-07-07,8d9e0be733f77f1c,d877722ca4e40f98,6233332.63,выдача кредита по договору n600210017 от 24 июня 2021 г. согласно распоряжения кредитного отдела n 46023008 от date_95feb18422fb. ндс нет.,0.29688560506465456,135,0.2222222222222222,0.0,0.0,0.0,0.004587296424940412
2019-06-28,80799e1a6646b6dc,d877722ca4e40f98,6156330.0,"acc_cd27e0d43c60;ст. 176 нк рф, год: 2019 решение n 208684 от date_8418ad208f5f наименование: общество с ограниченной ответственностью ""инкриз"", инн: inn_d877722ca4e4, кпп: 650101001 наименование но: межрайонная инспекц",0.025913957818339033,208,0.21634615384615385,0.0,0.0,0.0,0.004490311221145879
2020-10-09,d877722ca4e40f98,6931e23e98703aa9,500000.0,оплата по счету № 7 от date_0abafb076672 устройство кровли согласно договора подряда №3-тор от 19.05.2017г сумма 500000-00 в т.ч. ндс (20%) 83333-33,0.006380825216605452,141,0.24113475177304963,0.0,0.0,1.0,0.004109268299835812
2020-10-30,d877722ca4e40f98,6931e23e98703aa9,500000.0,оплата по счету № 7 от date_0abafb076672 устройство кровли согласно договора подряда №3-тор от 19.05.2017г сумма 500000-00 в т.ч. ндс (20%) 83333-33,0.006380825216605452,141,0.24113475177304963,0.0,0.0,1.0,0.004109268299835812
2020-09-24,d877722ca4e40f98,6931e23e98703aa9,500000.0,оплата по счету № 7 от date_0abafb076672 устройство кровли согласно договора подряда №3-тор от 19.05.2017г сумма 500000-00 в т.ч. ндс (20%) 83333-33,0.006380825216605452,141,0.24113475177304963,0.0,0.0,1.0,0.004107094932339057
2021-07-07,d877722ca4e40f98,f009f83433030011,6132000.0,оплата по счету № 124/1 от 17.06.2021г оплата за постанцию трансформаторная сумма 6132000-00 в т.ч. ндс (20%) 1022000-00,0.0031144960234364078,114,0.2807017543859649,0.0,0.0,0.0,0.004105813244647338
2020-10-13,d877722ca4e40f98,6931e23e98703aa9,500000.0,оплата по счету № 7 от date_0abafb076672 устройство кровли согласно договора подряда №3-тор от 19.05.2017г сумма 500000-00 в т.ч. ндс (20%) 83333-33,0.006380825216605452,141,0.24113475177304963,0.0,0.0,1.0,0.004104895890520877
2020-10-06,d877722ca4e40f98,6931e23e98703aa9,500000.0,оплата по счету № 7 от date_0abafb076672 устройство кровли согласно договора подряда №3-тор от 19.05.2017г сумма 500000-00 в т.ч. ндс (20%) 83333-33,0.006380825216605452,141,0.24113475177304963,0.0,0.0,1.0,0.004104895890520877
2020-10-20,d877722ca4e40f98,6931e23e98703aa9,500000.0,оплата по счету № 7 от date_0abafb076672 устройство кровли согласно договора подряда №3-тор от 19.05.2017г сумма 500000-00 в т.ч. ндс (20%) 83333-33,0.006380825216605452,141,0.24113475177304963,0.0,0.0,1.0,0.004104895890520877
2021-07-08,d877722ca4e40f98,6931e23e98703aa9,6292056.0,оплата по счету № 15 от 10.08.2020г пусконаладочные работы.система отопления cогласно договора подряда №3-тор от 19.05.17г сумма 6292056-00 в т.ч. ндс (20%) 1048676-00,0.004597519257062439,160,0.23125,0.0,0.0,0.0,0.004025831279411228
2020-04-27,d877722ca4e40f98,6931e23e98703aa9,6564418.0,оплата по счету № 22 от date_c40a7e09c1d0 устройство монолитной плиты пола согласно договора №3-тор от 19.05.17г сумма 6564418-00 в т.ч. ндс (20%) 1094069-66,0.005921939769907524,150,0.24,0.0,0.0,0.0,0.0039454151305168775
2020-02-18,d877722ca4e40f98,77af13772af29f14,6076663.2,оплата по договору №12/20-гпт от date_077dae7adc7e по договору поставки товара №12/20-гпт от 14.02.2020г сумма 6076663-20 в т.ч. ндс (20%) 1012777-20,0.01120915958585174,143,0.2867132867132867,0.0,0.0,0.0,0.0037789957806059053
2019-04-23,d877722ca4e40f98,6931e23e98703aa9,6000000.0,аванс по договору №3-тор от 19.05.2017г сумма 6000000-00 в т.ч. ндс (20%) 1000000-00,0.02552531471807398,79,0.3670886075949367,0.0,0.0,1.0,0.0037500915792698687
2019-06-28,d877722ca4e40f98,6931e23e98703aa9,6000000.0,оплата по счету № 14 от date_12e1bc34374f аванс по договору №3-тор от 19.05.2017г сумма 6000000-00 в т.ч. ндс (20%) 1000000-00,0.01593850671739312,119,0.3277310924369748,0.0,0.0,1.0,0.0037441961521736977
2020-01-23,d877722ca4e40f98,3a9c5401f637dd8d,5000000.0,возврат займа по договору ои-3/141118 от 14.11.2018г сумма 5000000-00 без налога (ндс),0.9636863901139474,84,0.2857142857142857,0.0,0.0,1.0,0.003497292306351835
2020-12-21,d877722ca4e40f98,6931e23e98703aa9,3000000.0,оплата по счету № 7 от date_0abafb076672 устройство кровли согласно договора подряда №3-тор от 19.05.2017г сумма 3000000-00 в т.ч. ндс (20%) 500000-00,0.00874345108145388,143,0.2517482517482518,0.0,0.0,1.0,0.0034242535454152615
2020-10-19,d877722ca4e40f98,6931e23e98703aa9,3000000.0,оплата по счету № 7 от date_0abafb076672 устройство кровли согласно договора подряда №3-тор от 19.05.2017г сумма 3000000-00 в т.ч. ндс (20%) 500000-00,0.00874345108145388,143,0.2517482517482518,0.0,0.0,1.0,0.0034242535454152615
2020-08-10,8d9e0be733f77f1c,d877722ca4e40f98,700000.0,поступление беспроцентного займа от учредителя - 700000.00,0.9979519783721831,56,0.14285714285714285,0.0,0.0,1.0,0.0033330374543884237
2021-08-10,7ad54077510c09e4,d877722ca4e40f98,20000.0,выдача займа по договору №4-си/170621 от date_8b1fbb2a73df сумма 20000-00 без налога (ндс),0.9922597262222357,87,0.21839080459770116,0.0,0.0,1.0,0.0031976108764501534
