date,debit_inn,credit_inn,amount,purpose,hbos_score,copod_score,global_score,iforest_score_debit,iforest_score_credit,alpha_debit,alpha_credit,behavior_risk_debit,behavior_risk_credit,base_behavior_risk,semantic_risk_score,ts_anomaly_score_txn,graph_edge_score,graph_node_score,correction_score,txn_risk_score,txn_risk_rank
2021-09-10,d877722ca4e40f98,8d9e0be733f77f1c,19268.42,расчет при увольнении по реестру №23 от date_3a2a0b22288e в соответствии с договором 50356798 от date_eb8c294d74c6,0.37767983790364695,0.3147440242661513,0.3462119310848991,,,0.0,0.0,0.3462119310848991,0.3462119310848991,0.3462119310848991,0.25250435,0.00019124453963539944,2.503395e-05,0.20367633893077536,0.1670448155254871,0.42973433884764267,0.43626168224299067
2021-07-30,d877722ca4e40f98,80799e1a6646b6dc,58.0,налог на доходы физических лиц доплата за май 2021 года,0.30524011771988546,0.3855174390268878,0.3453787783733866,,,0.0,0.0,0.3453787783733866,0.3453787783733866,0.3453787783733866,0.25415787,0.001779859443443088,0.000116705894,0.20367633893077536,0.16834816112314765,0.4295528589349604,0.43588785046728973
2020-11-16,d877722ca4e40f98,40149916b115417d,6558.87,оплата по договору № 1086 по с/ф inn_c09af8db2802 от 31.10.20г сумма 6558-87 в т.ч. ндс (20%) 1093-15,0.1763190207230467,0.24703178163082776,0.21167540117693723,,,0.0,0.0,0.21167540117693723,0.21167540117693723,0.21167540117693723,0.5867548,0.13488169313810713,9.226799e-05,0.49904438853263855,0.43365078509253996,0.4285007937232072,0.4355140186915888
2021-10-13,d877722ca4e40f98,8d9e0be733f77f1c,37771.18,расчет при увольнении по реестру №26 от date_263c06dc6e39 в соответствии с договором 50356798 от date_eb8c294d74c6,0.3840782761277518,0.30452937162316013,0.344303823875456,,,0.0,0.0,0.344303823875456,0.344303823875456,0.344303823875456,0.25201416,0.00037619240134129236,2.503395e-05,0.20367633893077536,0.16685520558468248,0.42773142666779723,0.43514018691588785
2021-03-01,d877722ca4e40f98,8d9e0be733f77f1c,1800.0,комиссия за ведение счета 'acc_ded93f97f389' от '02/12/2014' за период с '01/02/2021' по '28/02/2021' за 28 дней. ндс не облагается,0.4232518006865893,0.24675552502216258,0.33500366285437594,,,0.0,0.0,0.33500366285437594,0.33500366285437594,0.33500366285437594,0.28915855,1.656002420816784e-05,2.503395e-05,0.20367633893077536,0.1853195122359453,0.4276634189723486,0.4347663551401869
2020-10-20,d877722ca4e40f98,ac31ae518119510a,3000.0,оплата по счету № 69913 от 23.10.201 за ноябрь 20г сумма 3000-00 без налога (ндс),0.37907009090750965,0.33009133674505425,0.354580713826282,,,0.0,0.0,0.354580713826282,0.354580713826282,0.354580713826282,0.20839079,2.891334883002891e-17,0.0001296997,0.20367633893077536,0.14493066140807664,0.4270460445303203,0.43439252336448597
2019-07-01,d877722ca4e40f98,6931e23e98703aa9,1200000.0,оплата по счету № 14 от date_12e1bc34374f аванс по договору №3-тор от 19.05.2017г сумма 1200000-00 в т.ч. ндс (20%) 200000-00,0.32904517237205727,0.3683957430662525,0.3487204577191549,,,0.0,0.0,0.3487204577191549,0.3487204577191549,0.3487204577191549,0.22426564,0.010144929332339256,9.179115e-06,0.20367633893077536,0.155911564092647,0.4266762397654784,0.43401869158878503
2020-12-10,d877722ca4e40f98,eed8b1f54ed4366c,10584.0,оплата по договору электроэнергия по дог.№112458 от 03.03.17аванс 30% за декабрь 2020г по с/ф 40416-080-02 от 30.11.20г сумма 10584-00 в т.ч. ндс (20%) 1764-00,0.3895803148211788,0.2723505617983819,0.3309654383097803,,,0.0,0.0,0.3309654383097803,0.3309654383097803,0.3309654383097803,0.29375184,0.012108757864067045,4.720688e-05,0.20367633893077536,0.19124381305690474,0.4265873448382327,0.4336448598130841
2021-12-14,d877722ca4e40f98,eed8b1f54ed4366c,17251.2,оплата по договору электроэнергия по дог.№112458 от 03.03.17 аванс 40% за декабрь 2021г по с/ч №62434-080-02 от 01.12.21г сумма 17251-20 в т.ч. ндс (20%) 2875-20,0.3704691485130563,0.29341047757789984,0.33193981304547804,,,0.0,0.0,0.33193981304547804,0.33193981304547804,0.33193981304547804,0.28796485,0.01243731429658386,4.720688e-05,0.20367633893077536,0.18844888740719964,0.4261642567490779,0.43327102803738315
2020-08-24,d877722ca4e40f98,ac31ae518119510a,3000.0,оплата по счету № 66100 от 24.08.20 за сентябрь 20г сумма 3000-00 без налога (ндс),0.3853667011912336,0.3160942410177323,0.35073047110448297,,,0.0,0.0,0.35073047110448297,0.35073047110448297,0.35073047110448297,0.21978427,1.6267393371731386e-17,0.0001296997,0.20367633893077536,0.15062740513480696,0.42604417367188646,0.4328971962616822
2021-07-08,d877722ca4e40f98,6931e23e98703aa9,334724.0,оплата по счету №3 от date_0768de4fe23b ветиляция cогласно договора подряда №3-тор от 19.05.17г сумма 334724-00 в т.ч. ндс (20%) 55787-00,0.2234590775176751,0.2512276480745741,0.2373433627961246,,,0.0,0.0,0.2373433627961246,0.2373433627961246,0.2373433627961246,0.08410564,0.9791329565612457,9.179115e-06,0.20367633893077536,0.3765279750794265,0.42560735033583785,0.43252336448598133
2019-08-28,d877722ca4e40f98,8d9e0be733f77f1c,600.0,комиссия за прием наличных денежных средств через банкомат. документ(ы): №151 (200000 rur ) от 28/08/19. без ндс,0.29290809792378175,0.2890128193521718,0.2909604586379768,,,0.0,0.0,0.2909604586379768,0.2909604586379768,0.2909604586379768,0.45604157,1.3560019901718298e-05,2.503395e-05,0.20367633893077536,0.26876012303120034,0.425340520153577,0.4321495327102804
2019-11-06,d877722ca4e40f98,80799e1a6646b6dc,1847.06,страховые взносы на выплату страховой части трудовой пенсии за октябрь 19г,0.3860335378793926,0.26455091596222857,0.3252922269208106,,,0.0,0.0,0.3252922269208106,0.3252922269208106,0.3252922269208106,0.31803375,0.0010050540308388172,0.000116705894,0.20367633893077536,0.20005366140820274,0.42531905762491196,0.43177570093457945
2022-08-22,d877722ca4e40f98,1b21a7645f64d170,800.0,"государственная пошлина за государственную регистрацию юридического лица, физических лиц в качестве индивидуальных предпринимателей, изменений, вносимых в учредительные документы юридического лица",0.1650307958298636,0.29199692195124294,0.22851385889055326,,,0.0,0.0,0.22851385889055326,0.22851385889055326,0.22851385889055326,0.38295352,0.003212342420837004,0.9999873,0.9996595978736877,0.39243792586315296,0.42473282182212974,0.4314018691588785
2019-09-10,d877722ca4e40f98,eed8b1f54ed4366c,6408.2,оплата по договору электроэнергия по дог.№112458 от 03.03.17 по сф 27995-080-02 от 31.08.19г доплата за август 2019г сумма 6408-20 в т.ч. ндс (20%) 1068-03,0.33150801844746086,0.33133637602872396,0.3314221972380924,,,0.0,0.0,0.3314221972380924,0.3314221972380924,0.3314221972380924,0.29140952,0.0,4.720688e-05,0.20367633893077536,0.18644002893365416,0.4246422117049195,0.4310280373831776
2020-01-17,33f2ff7ebb54463b,d877722ca4e40f98,6000000.0,перевод денежных средств по договору № си-2/170120 от 17.01.2020г. сумма 6000000-00 без налога (ндс),0.27938665549633934,0.4445649797350701,0.36197581761570474,,,0.0,0.0,0.36197581761570474,0.36197581761570474,0.36197581761570474,0.1682749,0.0,0.00093108416,0.20367633893077536,0.12487271496451888,0.4244121750979642,0.43065420560747664
2022-01-11,d877722ca4e40f98,eed8b1f54ed4366c,30189.0,оплата по договору электроэнергия по дог.№112458 от 03.03.17 аванс за январь 2022г по с/ф 63187-080-02 от 31.12.21г сумма 30189-00 в т.ч. ндс (20%) 5031-50,0.390905025092655,0.24549035534606012,0.31819769021935757,,,0.0,0.0,0.31819769021935757,0.31819769021935757,0.31819769021935757,0.27461335,0.11364065279320212,4.720688e-05,0.20367633893077536,0.21213413893901897,0.42426475968886707,0.4302803738317757
2019-07-02,d877722ca4e40f98,0ce0b6eeec2d8629,38500.0,оплата по счету № 37 от date_c8df46b4f1d7 бух услуги за апрель 19г согласно договор_9429076e5a53 №3 от 09.01.19г сумма 38500-00 без налога (ндс),0.2565362119171507,0.2520676020481848,0.25430190698266775,,,0.0,0.0,0.25430190698266775,0.25430190698266775,0.25430190698266775,0.59821177,0.0,9.429455e-05,0.20367633893077536,0.3398411504308084,0.42422248219807196,0.42990654205607476
2024-04-01,d877722ca4e40f98,8d9e0be733f77f1c,639.32,комиссия за ведение счета 'acc_ded93f97f389' от '02/12/2014' за период с '29/02/2024' по '31/03/2024' за 31 дней. ндс не облагается,0.421604666757013,0.24945793803724478,0.3355313023971289,,,0.0,0.0,0.3355313023971289,0.3355313023971289,0.3355313023971289,0.27243322,4.875457413631141e-06,2.503395e-05,0.20367633893077536,0.17695334109346889,0.4240079729438634,0.4295327102803738
