date,debit_inn,credit_inn,amount,purpose,node_score_debit,node_score_credit,txn_node_risk,txn_risk_score,txn_risk_score_blend_graph
2021-02-02,d877722ca4e40f98,6931e23e98703aa9,200000.0,оплата по счету № 8 от date_b42a3a2ef047 фасад наружные стены согласно договора подряда №3-тор от 19.05.17г сумма 200000-00 в т.ч. ндс (20%) 33333-33,0.025063289192023976,0.0038481056690216064,0.025063289192023976,0.14097875449488717,0.11779566143431454
2021-02-02,5ae9eeb0d29bc5c0,d877722ca4e40f98,200000.0,перевод денежных средств по договору № пи-1/281220 от date_8425413630fa г. сумма 200000-00 без налога (ндс),0.013772010803222656,0.025063289192023976,0.025063289192023976,0.22567176222325394,0.18555006761700796
2021-02-03,d877722ca4e40f98,8d9e0be733f77f1c,8.0,комиссия внутри сбербанка за пп/пт через дбо согласно договору рко № acc_ded93f97f389 от '02/12/2014'. №32 (200000 rur ) от 03/02/21. без ндс,0.025063289192023976,0.0038172006607055664,0.025063289192023976,0.05170975657967851,0.04638046310214761
2021-02-03,d877722ca4e40f98,8d9e0be733f77f1c,37.0,"комиссия в другие банки (кредитные организации, банк россии) за пп/пт через дбо согласно договору рко №acc_ded93f97f389 от '02/12/2014'. документы: №33 (1800 rur ) от 03/02/21 без ндс",0.025063289192023976,0.0038172006607055664,0.025063289192023976,0.06489843509704141,0.056931405916037923
2021-02-03,d877722ca4e40f98,8d9e0be733f77f1c,199.0,информирование об операциях поступления и/или списания по банковскому(им) счету(ам) в рублях рф за период с '01/01/2021' по '31/01/2021'.,0.025063289192023976,0.0038172006607055664,0.025063289192023976,0.08652990807498001,0.07423658429838881
2021-02-03,d877722ca4e40f98,ed18d013d231f2d0,1800.0,оплата по счету № 13 от date_0d0f203d5fa5 транспортные услуги сумма 1800-00 без налога (ндс),0.025063289192023976,0.04509544372558594,0.04509544372558594,0.17244866529945757,0.14697802098468327
2021-02-03,d877722ca4e40f98,6931e23e98703aa9,200000.0,оплата по счету № 8 от date_b42a3a2ef047 фасад наружные стены согласно договора подряда №3-тор от 19.05.17г сумма 200000-00 в т.ч. ндс (20%) 33333-33,0.025063289192023976,0.0038481056690216064,0.025063289192023976,0.12604672447871743,0.10585003742137875
2021-02-03,5ae9eeb0d29bc5c0,d877722ca4e40f98,200000.0,перевод денежных средств по договору № пи-1/281220 от date_8425413630fa г. сумма 200000-00 без налога (ндс),0.013772010803222656,0.025063289192023976,0.025063289192023976,0.23492899986199056,0.19295585772799725
2021-02-04,5ae9eeb0d29bc5c0,d877722ca4e40f98,200000.0,перевод денежных средств по договору № пи-1/281220 от date_8425413630fa г. сумма 200000-00 без налога (ндс),0.013772010803222656,0.025063289192023976,0.025063289192023976,0.23612073022085042,0.19390924201508514
2021-02-05,d877722ca4e40f98,8d9e0be733f77f1c,16.0,"комиссия внутри сбербанка за пп/пт через дбо согласно договору рко № acc_ded93f97f389 от '02/12/2014'. документ(ы):; от 05/02/21 №№: 43 (200000 rur ), 34 (200000 rur ). без ндс",0.025063289192023976,0.0038172006607055664,0.025063289192023976,0.06684092350490801,0.05848539664233121
