id,date,debit_inn,credit_inn,amount,risk_score,rule_score,iso_score
,2021-03-12,d877722ca4e40f98,93712c726144e60d,10000.0,0.8671819131933022,1.0,0.5920707198417329
,2021-03-11,d877722ca4e40f98,dd4e43d43864634e,23400.0,0.8670000377807742,1.0,0.5916701055463904
,2020-04-24,d877722ca4e40f98,3a9c5401f637dd8d,12295.0,0.8669836551757599,1.0,0.5916340198233538
,2019-04-23,d877722ca4e40f98,85ee5df9d37a27a6,250000.0,0.866665503186067,1.0,0.5909332311164525
,2021-03-02,d877722ca4e40f98,699e6f31660016bf,1500.0,0.8664475101967611,1.0,0.590453061166119
,2022-02-18,d877722ca4e40f98,b18fbc3ad50a69af,18900.0,0.8664049355386441,1.0,0.5903592825930623
,2022-05-11,d877722ca4e40f98,71aea28b46e14023,173.21,0.8661913435883135,1.0,0.58988880674653
,2019-09-04,d877722ca4e40f98,0c22384d93788af3,201030.79,0.8661753356743179,1.0,0.5898535463498875
,2022-08-03,d877722ca4e40f98,a4bb2adbd377d7b6,602.07,0.8658617348676008,1.0,0.5891627824667673
,2021-08-31,d877722ca4e40f98,480b91025f5be8d0,4648.8,0.8656447424343876,1.0,0.5886848164266192
,2022-04-18,d877722ca4e40f98,85ee5df9d37a27a6,30000.0,0.8654927459583566,1.0,0.5883500160251063
,2021-08-10,d877722ca4e40f98,40149916b115417d,2990.07,0.865388385819512,1.0,0.5881201434826666
,2020-08-05,d877722ca4e40f98,225acb9ed4f34af6,6087.36,0.8652619593581725,1.0,0.5878416657763169
,2021-04-09,d877722ca4e40f98,40149916b115417d,12832.57,0.8651261523951678,1.0,0.5875425257769594
,2021-02-11,d877722ca4e40f98,40149916b115417d,10836.37,0.864590075098324,1.0,0.5863617162022118
,2021-12-08,d877722ca4e40f98,cf603eadad6f36c6,5438.5,0.8643038698147995,1.0,0.585731296034973
,2020-02-05,d877722ca4e40f98,699e6f31660016bf,4500.0,0.8642045171999008,1.0,0.5855124534918561
,2020-10-07,d877722ca4e40f98,a982dff7a672f998,2000.0,0.8639383048140566,1.0,0.5849260713861936
,2021-02-17,d877722ca4e40f98,93712c726144e60d,5000.0,0.8638709699947695,1.0,0.5847777539704099
,2020-03-12,d877722ca4e40f98,cf603eadad6f36c6,5445.28,0.8637724192521016,1.0,0.584560677699458
,2022-08-22,d877722ca4e40f98,71aea28b46e14023,2025.86,0.8637030849326504,1.0,0.5844079560140806
,2022-08-11,d877722ca4e40f98,71aea28b46e14023,10144.26,0.8635558994758038,1.0,0.5840837527737432
,2020-11-16,d877722ca4e40f98,40149916b115417d,6558.87,0.8635410035058273,1.0,0.5840509416398324
,2021-09-22,d877722ca4e40f98,1dee298b3b4c3881,32000.0,0.8632371171723585,1.0,0.5833815756840128
,2020-07-03,d877722ca4e40f98,225acb9ed4f34af6,10475.34,0.8627062284855068,1.0,0.5822121949841575
