txn_id,date,inn,side,amount,purpose,iforest_score_debit,iforest_rank_debit
6903d44a445ef07c4b71864a49eea5f99727550cad83bd9c162c2e40fa5e3a4a,2021-07-08,d877722ca4e40f98,debit,8843574.0,оплата по счету № 13 от date_3e84c9d36c93 благоустройство. устройство проездов и тротуаров. cогласно договора подряда №3-тор от 19.05.17г сумма 8843574-00 в т.ч. ндс (20%) 1473929-00,0.8772312556872917,0.9981412639405205
2ab5460ff50e0fad994163ec1ba5f3832c408a1002cd8685c00049447b76c0d0,2021-07-16,d877722ca4e40f98,debit,18900000.0,оплата по сч.№ 33 от 16.07.21 согласно договора № 16-21 реконструкция теплотрассы и монтаж электрич сетей сумма 18900000-00 без налога (ндс),0.8602672330704332,0.9976765799256505
cb6c14ddfd66de033021a3cd3433ebf3343514356ab6af27498c92dcb226e293,2021-01-18,5ae9eeb0d29bc5c0,debit,1000000.0,перевод денежных средств по договору № пи-1/281220 от date_8425413630fa г. сумма 1000000-00 без налога (ндс),0.8563098517575841,0.9767441860465116
611c1f29de3287e37a0f6c59220db5f921b6a2aac206e2367f9829b6f9aaae13,2020-05-07,9d8f54ae3b88911b,debit,3950000.0,"оплата по договору займа №ти-19/070520 от 07,05,20г ндс не облагается.",0.8417019272108935,0.9375
0385be5668a6c9bcfed9ded72fade876b8611421dc2f69e543f77ca0325e42df,2021-07-09,8d9e0be733f77f1c,debit,71900696.0,"частичный возврат суммы покрытия по аккредитиву № 8824s2107000h от 07,07,2021 в связи с изменением суммы аккредитива на основании заявления № 5 от 09,07,2021",0.8417010063110164,0.9955156950672646
bcf7abac3f9fb31ed4cee3cc3525c0adbbc3d087e7f6bdef4c3a66eee66f1ef3,2021-07-08,d877722ca4e40f98,debit,6292056.0,оплата по счету № 15 от 10.08.2020г пусконаладочные работы.система отопления cогласно договора подряда №3-тор от 19.05.17г сумма 6292056-00 в т.ч. ндс (20%) 1048676-00,0.8398120712493895,0.9972118959107806
55bf735c0907a1a41898c5c0e0cba0c19df457574b1b71ecb13c112b353ae940,2019-01-25,89e588b9010869a4,debit,1000000.0,оплата по договор_aa2bdccd4f22 беспроцентного займа №пи-15/250119 от 25.01.19г сумма 1000000-00 без налога (ндс),0.8315220150562397,0.875
41f98ec88f33353186c0049ac19004ca5a0af5332ffb17eee766ea1e7cf07ac1,2019-12-11,d877722ca4e40f98,debit,20000000.0,возврат по договору беспроцентного займа №ти-17/161019 от 16.10.19г сумма 20000000-00 без налога (ндс),0.8296156153737102,0.9967472118959108
66deb13553d22812b87a7bf046ec8c157a63d9e5c02b18a468312ac7296a5797,2021-01-19,5ae9eeb0d29bc5c0,debit,1250000.0,перевод денежных средств по договору № пи-1/281220 от date_8425413630fa г. сумма 1250000-00 без налога (ндс),0.826881600077858,0.9534883720930233
c912f237957e53d92cb2939b077ea5d72bb66884e0ba2af465a86ac70368d107,2021-07-08,d877722ca4e40f98,debit,3060000.0,"оплата по счету № 11 от date_bb3d2a3e6d93 отделочные работы. полы, стены, потолки, двери, перегородки. cогласно договора подряда №3-тор от 19.05.17г сумма 3060000-00 в т.ч. ндс (20%) 510000-00",0.8238617777327689,0.9962825278810409
