txn_id,date,inn,side,amount,purpose,iforest_score_debit
,2021-07-16,8d9e0be733f77f1c,debit,18900000.0,частичный возврат суммы покрытия по аккредитиву № 8824s2107000h от 07.07.2021г в связи с изменением суммы аккредитива на основании заявления № 11 от 16.07.2021г..,0.7907372556952387
,2019-01-16,d877722ca4e40f98,debit,2000.0,сумма предоплаты за услуги связи по лицевому счету inn_0a7cdc631526 сумма 2000-00 в т.ч. ндс (20%) 333-33,0.7868684491753621
,2019-01-16,d877722ca4e40f98,debit,35.0,"комиссия в другие банки (кредитные организации, банк россии) за пп/пт через дбо согласно договору рко №acc_ded93f97f389 от '02/12/2014'. документы: №6 (2000 rur ) от 16/01/19 без ндс",0.7852752521147914
,2021-07-20,8d9e0be733f77f1c,debit,8479920.0,возврат неиспользованной суммы по аккредитиву № 8824s2107000h от date_95feb18422fb в связи с заявлением на отзыв аккредитива от date_68f38ec7c834.,0.7841208898806156
,2019-01-16,d877722ca4e40f98,debit,8.0,комиссия внутри сбербанка за пп/пт через дбо согласно договору рко № acc_ded93f97f389 от '02/12/2014'. №7 (33600 rur ) от 16/01/19. без ндс,0.783998787962765
,2021-07-20,d877722ca4e40f98,debit,1035949.85,налог на имущество организаций за 2 квартал 2021 года,0.7812301154258364
,2021-07-28,d877722ca4e40f98,debit,984604.88,"погашение задолженности по договору n 600210017 от 24 июня 2021 г. клиент ооо ""инкриз""",0.7741450198531086
,2021-07-07,8d9e0be733f77f1c,debit,6233332.63,выдача кредита по договору n600210017 от 24 июня 2021 г. согласно распоряжения кредитного отдела n 46023008 от date_95feb18422fb. ндс нет.,0.7638039835056509
,2021-07-08,d877722ca4e40f98,debit,3060000.0,"оплата по счету № 11 от date_bb3d2a3e6d93 отделочные работы. полы, стены, потолки, двери, перегородки. cогласно договора подряда №3-тор от 19.05.17г сумма 3060000-00 в т.ч. ндс (20%) 510000-00",0.761375952241002
,2021-01-19,5ae9eeb0d29bc5c0,debit,1250000.0,перевод денежных средств по договору № пи-1/281220 от date_8425413630fa г. сумма 1250000-00 без налога (ндс),0.7485159212621745
,2019-10-16,d877722ca4e40f98,debit,17000000.0,оплата по счету № 20 от date_aa5e303a04cd аванс по договору №3-тор от 19.05.2017г сумма 17000000-00 в т.ч. ндс (20%) 2833333-33,0.7480307482982297
,2021-07-13,d877722ca4e40f98,debit,603621.0,оплата по счету № 6304 от date_43f2f1b3167e монтаж и наладка пожарной сигнализации по дог.№120/20 от 18.12.20 частичная оплата сумма 603621-00 без налога (ндс),0.7463626758956972
,2021-07-12,d877722ca4e40f98,debit,296682.0,оплата по сч.№ 8 от 21.05.21г авторский надзор за холодсервис согласно письма №46 от 18.12.18г сумма 296682-00 без налога (ндс),0.7459094434382915
,2021-07-12,d877722ca4e40f98,debit,272215.0,оплата по сч.№ 05 от 18.02.21 г частичная оплата авторский надзор за холодсервис согласно письма №46 от 18.12.18г сумма 272215-00 без налога (ндс),0.7435755737759575
,2021-07-20,d877722ca4e40f98,debit,444126.0,оплата по счету №5 от date_55fe983d1fa3 тех.надзор по договору №8 от 20.12.16г сумма 444126-00 без налога (ндс),0.7424957351180405
,2021-07-08,d877722ca4e40f98,debit,2290133.0,оплата по счету № 19 от date_db18f6dce3c9 устройство дождевой канализации с системой очистки cогласно договора подряда №3-тор от 19.05.17г сумма 2290133-00 в т.ч. ндс (20%) 381689-00,0.7421288075548198
,2021-07-08,d877722ca4e40f98,debit,2239327.0,"оплата по счет-фактуре № 17 от date_933bf57856d8 отделочные работы, перегородки. cогласно договора подряда №3-тор от 19.05.17г сумма 2239327-00 в т.ч. ндс (20%) 373221-00",0.7401075014732004
,2021-07-09,d877722ca4e40f98,debit,316800.0,оплата по счету № 251 от 30.06.21г услуги физ.охраны за июнь 2021г сумма 316800-00 без налога (ндс),0.7385216700051658
,2021-07-12,d877722ca4e40f98,debit,150487.0,оплата по сч.№ 7 от date_19d88b79d5fb авторский надзор за холодсервис согласно письма №46 от 18.12.18г сумма 150487-00 без налога (ндс),0.7381996266060472
,2021-07-20,d877722ca4e40f98,debit,359615.0,оплата по счету № 7 от 21.05.19 тех.надзор по договору №8 от 20.12.16г сумма 359615-00 без налога (ндс),0.7366802056112014
,2021-01-18,5ae9eeb0d29bc5c0,debit,1000000.0,перевод денежных средств по договору № пи-1/281220 от date_8425413630fa г. сумма 1000000-00 без налога (ндс),0.7344678391653127
,2022-08-02,d877722ca4e40f98,debit,4869203.94,по решению о взыскании № 5593 от date_11c362601502 на основании ст.46 нк рф от 31.07.1998г. № 146-фз,0.7286596077185797
,2021-07-20,d877722ca4e40f98,debit,283277.0,оплата по счету №4 от date_6b14695a421e тех.надзор по договору №8 от 20.12.16г сумма 283277-00 без налога (ндс),0.7284599092345122
,2021-07-09,d877722ca4e40f98,debit,80000.0,оплата по счету № 73 от date_63da1f80aee8 строительство теплотрассы сумма 80000-00 без налога (ндс),0.7280079816444335
,2021-07-12,d877722ca4e40f98,debit,12978.0,оплата по договору электроэнергия по дог.№112458 от 03.03.17 аванс 70% за июль 2021г по с/ф 29483-080-02 от 30.06.21г сумма 12978-00 в т.ч. ндс (20%) 2163-00,0.7275315060448614
,2021-08-03,d877722ca4e40f98,debit,14250.0,отпускные по реестру №19 от date_8900e9d13cb6 в соответствии с договором 50356798 от date_eb8c294d74c6,0.7263765321482447
,2021-07-09,d877722ca4e40f98,debit,31665.29,оплата по договору № 3510 от date_81763ef137aa теплоэнергия по с/ф тэ000010953 от 30.06.21 г за июнь 2021г сумма 31665-29 в т.ч. ндс (20%) 5277-55,0.7242280572278463
,2021-07-12,d877722ca4e40f98,debit,7705.0,оплата по счету № 6042 от 09.07.21г спецодежда сумма 7705-00 в т.ч. ндс (20%) 1284-17,0.7236848777006989
,2021-07-20,d877722ca4e40f98,debit,211065.0,оплата по счету № 6 от date_19d88b79d5fb тех.надзор по договору №8 от 20.12.16г сумма 211065-00 без налога (ндс),0.7232080640749039
,2021-07-01,d877722ca4e40f98,debit,9472656.0,"оплата по счету № 9 от date_0816c1dafa53 устройство металлокаркаса.огнезащита металлоконструкций, согласно договора подряда №3-тор от 19.05.17г сумма 9472656-00 в т.ч. ндс (20%) 1578776-00",0.7223210326046632
,2021-07-09,d877722ca4e40f98,debit,8341.16,оплата по счет-фактуре № inn_da53825e5faf от date_e2f6fdea7672 договор № 1086 сумма 8341-16 в т.ч. ндс (20%) 1390-19,0.7210764494335448
,2021-07-12,d877722ca4e40f98,debit,2790.0,оплата по договору электроэнергия по дог.№112458 от 03.03.17 доплата за июнь 2021г по с/ф 29483-080-02 от 30.06.21г сумма 2790-00 в т.ч. ндс (20%) 465-00,0.7209973949817972
,2021-07-12,d877722ca4e40f98,debit,2000.0,оплата за услуги связи л/с inn_a388b319cfe4 сумма 2000-00 в т.ч. ндс (20%) 333-33,0.7209973949817972
,2021-07-09,d877722ca4e40f98,debit,148.0,"комиссия в другие банки (кредитные организации, банк россии) за пп/пт через дбо согласно договору рко №acc_ded93f97f389 от '02/12/2014'. документы: документ(ы):; от 09/07/21 №№: 230 (8341.16 rur ), 231 (3",0.7206928517321765
,2021-07-12,d877722ca4e40f98,debit,78.57,оплата комиссии за оказание услуг по зачислению денежных средств. за период с date_e2f6fdea7672 по date_6e9a6ace6def. договор от date_eb8c294d74c6 № 50356798. ндс не облагается.,0.7206138151074718
,2021-07-12,d877722ca4e40f98,debit,37.0,"комиссия в другие банки (кредитные организации, банк россии) за пп/пт через дбо согласно договору рко №acc_ded93f97f389 от '02/12/2014'. документы: №237 (7705 rur ) от 12/07/21 без ндс",0.72023032173169
,2021-07-12,d877722ca4e40f98,debit,48.0,"комиссия внутри сбербанка за пп/пт через дбо согласно договору рко № acc_ded93f97f389 от '02/12/2014'. документ(ы):; от 12/07/21 №№: 235 (272215 rur ), 239 (2790 rur ), 238 (12978 rur ), 236 (2000 rur",0.72023032173169
,2021-07-09,d877722ca4e40f98,debit,16.0,"комиссия внутри сбербанка за пп/пт через дбо согласно договору рко № acc_ded93f97f389 от '02/12/2014'. документ(ы):; от 09/07/21 №№: 227 (69500000 rur ), 232 (316800 rur ). без ндс",0.7194630869651658
,2021-07-29,d877722ca4e40f98,debit,1000.0,комиссия за годовое обслуживание бизнес-карты без пластикового носителя '4274********7698' от '16/07/2021',0.715282134167869
,2021-07-29,d877722ca4e40f98,debit,1500.0,комиссия за годовое обслуживание бизнес-карты на пластиковом носителе '4274********7698' от '16/07/2021',0.715282134167869
,2021-07-08,d877722ca4e40f98,debit,1765261.0,оплата по счету №5 от date_c0262f8e17f8 отопление cогласно договора подряда №3-тор от 19.05.17г сумма 1765261-00 в т.ч. ндс (20%) 294210-00,0.7149352245792111
,2021-07-30,d877722ca4e40f98,debit,1763.0,налог на доходы физических лиц за июль 2021 года,0.7118446164450941
,2021-08-03,d877722ca4e40f98,debit,199.0,информирование об операциях поступления и/или списания по банковскому(им) счету(ам) в рублях рф за период с '01/07/2021' по '31/07/2021'.,0.710951252523848
,2021-07-30,d877722ca4e40f98,debit,58.0,налог на доходы физических лиц доплата за май 2021 года,0.7099378971213114
,2021-07-30,d877722ca4e40f98,debit,0.3,пени по налогу на доходы физических лиц за май 2021 года,0.7099378971213114
,2021-07-30,d877722ca4e40f98,debit,0.01,оплата по сч.№ 687 от 09.07.21г согласно договор_9429076e5a53 №39 ин от 09.07.21г доплата сумма 0-01 без налога (ндс),0.7099378971213114
,2021-07-30,d877722ca4e40f98,debit,23.6,оплата комиссии за оказание услуг по зачислению денежных средств. за период с date_f3eb9b50c612 по date_ed6a189f272b. договор от date_eb8c294d74c6 № 50356798. ндс не облагается.,0.7099378971213114
,2021-07-30,d877722ca4e40f98,debit,37.0,"комиссия в другие банки (кредитные организации, банк россии) за пп/пт через дбо согласно договору рко №acc_ded93f97f389 от '02/12/2014'. документы: №255 (.01 rur ) от 30/07/21 без ндс",0.709556811200714
,2021-12-27,nan,debit,1700000.0,оплата по договору займа №34 от date_e98770c5fdf8. займодавец хо сон дя,0.7079336127087137
,2021-07-20,d877722ca4e40f98,debit,46837.85,налог на имущество организаций за 1 квартал 2021 года,0.7052166763249242
,2021-07-20,d877722ca4e40f98,debit,37499.98,аванс по заработной плате по реестру №16 от date_68f38ec7c834 в соответствии с договором 50356798 от date_eb8c294d74c6,0.7039680266267381
,2021-07-20,d877722ca4e40f98,debit,19413.0,земельный налог за 2 квартал 2021 года,0.7009993591959389
,2021-07-13,d877722ca4e40f98,debit,8.0,комиссия внутри сбербанка за пп/пт через дбо согласно договору рко № acc_ded93f97f389 от '02/12/2014'. №240 (603621 rur ) от 13/07/21. без ндс,0.7004167495825138
,2024-02-02,d877722ca4e40f98,debit,157063.0,оплата по сч.№3 от date_d7573227b0d5 сумма 157063-00 в т.ч. ндс (20%) 26177-17,0.6961173560989454
